cambio,fecha
6.945,2/1/2017
6.93,3/1/2017
6.94,4/1/2017
6.945,5/1/2017
6.945,6/1/2017
6.94,9/1/2017
6.93,10/1/2017
6.935,11/1/2017
6.935,12/1/2017
6.935,13/1/2017
6.935,16/1/2017
6.935,17/1/2017
6.945,18/1/2017
6.935,19/1/2017
6.935,20/1/2017
6.93,23/1/2017
6.94,24/1/2017
6.935,25/1/2017
6.935,26/1/2017
6.935,27/1/2017
6.935,30/1/2017
6.935,31/1/2017
6.945,1/2/2017
6.93,2/2/2017
6.935,3/2/2017
6.93,6/2/2017
6.945,7/2/2017
6.92,8/2/2017
6.945,9/2/2017
6.935,10/2/2017
6.93,13/2/2017
6.93,14/2/2017
6.945,15/2/2017
6.935,16/2/2017
6.945,17/2/2017
6.945,20/2/2017
6.945,21/2/2017
6.93,22/2/2017
6.925,23/2/2017
6.935,24/2/2017
6.935,27/2/2017
6.945,28/2/2017
6.945,1/3/2017
6.935,2/3/2017
6.955,3/3/2017
6.95,6/3/2017
6.945,7/3/2017
6.955,8/3/2017
6.95,9/3/2017
6.945,10/3/2017
6.945,13/3/2017
6.945,14/3/2017
6.94,15/3/2017
6.945,16/3/2017
6.955,17/3/2017
6.955,20/3/2017
6.955,21/3/2017
6.945,22/3/2017
6.955,23/3/2017
6.955,24/3/2017
6.94,27/3/2017
6.945,28/3/2017
6.945,29/3/2017
6.955,30/3/2017
6.955,31/3/2017
6.955,3/4/2017
6.95,4/4/2017
6.955,5/4/2017
6.945,6/4/2017
6.955,7/4/2017
6.955,10/4/2017
6.955,11/4/2017
6.955,12/4/2017
6.945,13/4/2017
6.955,14/4/2017
6.95,17/4/2017
6.945,18/4/2017
6.95,19/4/2017
6.955,20/4/2017
6.945,21/4/2017
6.945,24/4/2017
6.93,25/4/2017
6.955,26/4/2017
6.945,27/4/2017
6.96,28/4/2017
6.965,1/5/2017
6.975,2/5/2017
6.97,3/5/2017
6.975,4/5/2017
6.965,5/5/2017
6.975,8/5/2017
6.975,9/5/2017
6.95,10/5/2017
6.975,11/5/2017
6.975,12/5/2017
6.975,15/5/2017
6.97,16/5/2017
6.975,17/5/2017
6.965,18/5/2017
6.965,19/5/2017
6.97,22/5/2017
6.97,23/5/2017
6.965,24/5/2017
6.975,25/5/2017
6.975,26/5/2017
6.975,29/5/2017
6.945,30/5/2017
6.975,31/5/2017
6.975,1/6/2017
6.96,2/6/2017
6.965,5/6/2017
6.975,6/6/2017
6.975,7/6/2017
6.975,8/6/2017
6.975,9/6/2017
6.97,12/6/2017
6.975,13/6/2017
6.975,14/6/2017
6.97,15/6/2017
6.975,16/6/2017
6.97,19/6/2017
6.975,20/6/2017
6.975,21/6/2017
6.965,22/6/2017
6.975,23/6/2017
6.97,26/6/2017
6.975,27/6/2017
6.94,28/6/2017
6.97,29/6/2017
6.975,30/6/2017
6.95,3/7/2017
6.965,4/7/2017
6.97,5/7/2017
6.975,6/7/2017
6.965,7/7/2017
6.96,10/7/2017
6.95,11/7/2017
6.975,12/7/2017
6.975,13/7/2017
6.965,14/7/2017
6.975,17/7/2017
6.975,18/7/2017
6.965,19/7/2017
6.965,20/7/2017
6.975,21/7/2017
6.965,24/7/2017
6.965,25/7/2017
6.965,26/7/2017
6.965,27/7/2017
6.975,28/7/2017
6.975,31/7/2017
6.975,1/8/2017
6.975,2/8/2017
6.97,3/8/2017
6.975,4/8/2017
6.975,7/8/2017
6.96,8/8/2017
6.955,9/8/2017
6.965,10/8/2017
6.975,11/8/2017
6.97,14/8/2017
6.975,15/8/2017
6.965,16/8/2017
6.965,17/8/2017
6.965,18/8/2017
6.97,21/8/2017
6.965,22/8/2017
6.965,23/8/2017
6.975,24/8/2017
6.97,25/8/2017
6.975,28/8/2017
6.975,29/8/2017
6.97,30/8/2017
6.965,31/8/2017
6.975,1/9/2017
6.975,4/9/2017
6.97,5/9/2017
6.965,6/9/2017
6.965,7/9/2017
6.975,8/9/2017
6.965,11/9/2017
6.965,12/9/2017
6.965,13/9/2017
6.965,14/9/2017
6.965,15/9/2017
6.965,18/9/2017
6.975,19/9/2017
6.975,20/9/2017
6.975,21/9/2017
6.965,22/9/2017
6.965,25/9/2017
6.955,26/9/2017
6.965,27/9/2017
6.965,28/9/2017
6.945,29/9/2017
6.935,2/10/2017
6.945,3/10/2017
6.93,4/10/2017
6.935,5/10/2017
6.925,6/10/2017
6.935,9/10/2017
6.925,10/10/2017
6.935,11/10/2017
6.935,12/10/2017
6.93,13/10/2017
6.935,16/10/2017
6.93,17/10/2017
6.935,18/10/2017
6.925,19/10/2017
6.935,20/10/2017
6.935,23/10/2017
6.94,24/10/2017
6.925,25/10/2017
6.935,26/10/2017
6.935,27/10/2017
6.925,30/10/2017
6.925,31/10/2017
6.935,1/11/2017
6.925,2/11/2017
6.935,3/11/2017
6.935,6/11/2017
6.93,7/11/2017
6.935,8/11/2017
6.93,9/11/2017
6.935,10/11/2017
6.93,13/11/2017
6.965,14/11/2017
6.97,15/11/2017
6.935,16/11/2017
6.935,17/11/2017
6.935,20/11/2017
6.965,21/11/2017
6.965,22/11/2017
6.965,23/11/2017
6.935,24/11/2017
6.935,27/11/2017
6.935,28/11/2017
6.965,29/11/2017
6.925,30/11/2017
6.935,1/12/2017
6.935,4/12/2017
6.935,5/12/2017
6.965,6/12/2017
6.935,7/12/2017
6.935,8/12/2017
6.935,11/12/2017
6.935,12/12/2017
6.935,13/12/2017
6.935,14/12/2017
6.935,15/12/2017
6.93,18/12/2017
6.935,19/12/2017
6.935,20/12/2017
6.93,21/12/2017
6.935,22/12/2017
6.935,25/12/2017
6.935,26/12/2017
6.935,27/12/2017
6.935,28/12/2017
6.935,29/12/2017
